created_at_utc,timestamp,appid,game_title,provider,model,status,folder_path,input_file,output_path,error,duration_sec,response_length
2026-07-14T14:07:37.153704+00:00,20260714_140737,3738830,Bodycam Onrecord,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-14__appid_3738830__rank_901_to_839__up_62,data/spike_explainer/2026-07-14__appid_3738830__rank_901_to_839__up_62/llm_summary_input.md,data/spike_explainer/2026-07-14__appid_3738830__rank_901_to_839__up_62/llm_outputs/gemini_20260714_140737.md,,14.68,5813
2026-07-15T03:02:19.758501+00:00,20260715_030219,4534960,Dear Passengers,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-15__appid_4534960__rank_813_to_149__up_664,data/spike_explainer/2026-07-15__appid_4534960__rank_813_to_149__up_664/llm_summary_input.md,data/spike_explainer/2026-07-15__appid_4534960__rank_813_to_149__up_664/llm_outputs/gemini_20260715_030219.md,,17.6,7002
2026-07-15T14:04:46.069539+00:00,20260715_140446,4212480,Ragnarok: The New World,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-15__appid_4212480__rank_896_to_814__up_82,data/spike_explainer/2026-07-15__appid_4212480__rank_896_to_814__up_82/llm_summary_input.md,data/spike_explainer/2026-07-15__appid_4212480__rank_896_to_814__up_82/llm_outputs/gemini_20260715_140446.md,,18.94,5317
2026-07-16T03:23:17.402465+00:00,20260716_032317,4212480,Ragnarok: The New World,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-16__appid_4212480__rank_814_to_718__up_96,data/spike_explainer/2026-07-16__appid_4212480__rank_814_to_718__up_96/llm_summary_input.md,data/spike_explainer/2026-07-16__appid_4212480__rank_814_to_718__up_96/llm_outputs/gemini_20260716_032317.md,,23.07,5630
2026-07-16T14:16:13.618947+00:00,20260716_141613,4212480,Ragnarok: The New World,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-16__appid_4212480__rank_718_to_652__up_66,data/spike_explainer/2026-07-16__appid_4212480__rank_718_to_652__up_66/llm_summary_input.md,data/spike_explainer/2026-07-16__appid_4212480__rank_718_to_652__up_66/llm_outputs/gemini_20260716_141613.md,,23.4,5781
2026-07-17T03:26:36.004947+00:00,20260717_032636,3950130,Database Detective: Minor Crimes Division,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-17__appid_3950130__rank_948_to_884__up_64,data/spike_explainer/2026-07-17__appid_3950130__rank_948_to_884__up_64/llm_summary_input.md,data/spike_explainer/2026-07-17__appid_3950130__rank_948_to_884__up_64/llm_outputs/gemini_20260717_032636.md,,16.74,5443
2026-07-17T14:00:04.195392+00:00,20260717_140004,4775410,Jeffrey Eggstein,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-17__appid_4775410__rank_1120_to_1085__up_35,data/spike_explainer/2026-07-17__appid_4775410__rank_1120_to_1085__up_35/llm_summary_input.md,data/spike_explainer/2026-07-17__appid_4775410__rank_1120_to_1085__up_35/llm_outputs/gemini_20260717_140004.md,,26.81,5783
2026-07-18T03:02:42.759040+00:00,20260718_030242,2939790,Lunarium,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-18__appid_2939790__rank_1212_to_1179__up_33,data/spike_explainer/2026-07-18__appid_2939790__rank_1212_to_1179__up_33/llm_summary_input.md,data/spike_explainer/2026-07-18__appid_2939790__rank_1212_to_1179__up_33/llm_outputs/gemini_20260718_030242.md,,21.39,5084
2026-07-18T13:36:18.610195+00:00,20260718_133618,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-18__appid_3669200__rank_1011_to_877__up_134,data/spike_explainer/2026-07-18__appid_3669200__rank_1011_to_877__up_134/llm_summary_input.md,data/spike_explainer/2026-07-18__appid_3669200__rank_1011_to_877__up_134/llm_outputs/gemini_20260718_133618.md,,18.36,6258
2026-07-19T03:34:55.367077+00:00,20260719_033455,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-19__appid_3669200__rank_877_to_705__up_172,data/spike_explainer/2026-07-19__appid_3669200__rank_877_to_705__up_172/llm_summary_input.md,data/spike_explainer/2026-07-19__appid_3669200__rank_877_to_705__up_172/llm_outputs/gemini_20260719_033455.md,,14.62,4828
