appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
1752080,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2855590,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
1388550,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2254990,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3073940,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2063390,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2924520,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
388860,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2692660,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
1667040,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
4348760,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
4031890,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
1400830,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3516100,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
1416070,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,"win,mac",
3230430,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3199500,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2617340,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3812600,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
4126040,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3218230,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2254950,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3767320,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2295170,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,"win,linux",
3282300,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2208810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
4150720,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
4614080,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2871520,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,"win,mac",
2705130,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3426150,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3230960,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
1701840,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
4198090,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
4146000,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3669620,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
1977610,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,"win,mac",
2679100,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2610770,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2412960,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
2376260,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3642910,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
3970690,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,"win,mac,linux",
2950790,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=6,,,,win,
1501310,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,"win,mac,linux",
2004680,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1559720,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1203170,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
2141130,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3590650,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3571870,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
2437390,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
4258290,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3401960,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
2209900,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,"win,mac",
1731290,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3126410,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1454370,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1116050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1728620,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3041680,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3796990,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,"win,mac,linux",
1739080,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1875580,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,"win,mac,linux",
2359600,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3633680,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
3209660,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1401370,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
2339840,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=7,,,,win,
1670650,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,"win,mac,linux",
1373530,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1685310,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1181550,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2470010,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,"win,linux",
3751230,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2595260,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
895160,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1209970,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
3620480,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
3079190,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2838950,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
